Day,lotType,lotSpaces,lotVacancy,lotOccupied,percentCapacity
75,lot2_premium,324,296,28.0,0.08641975308641975
75,lot3,1192,890,302.0,0.2533557046979866
75,lot4_general,1430,810,620.0,0.43356643356643354
75,lot4_premium,352,176,176.0,0.5
75,lot5,2200,2200,0.0,0.0
75,lot6,-1,-1,-1.0,-1.0
76,lot2_general,1219,976,243.0,0.19934372436423298
76,lot2_premium,324,296,28.0,0.08641975308641975
76,lot3,1192,870,322.0,0.2701342281879195
76,lot4_general,1430,826,604.0,0.4223776223776224
76,lot4_premium,352,190,162.0,0.4602272727272727
76,lot5,2200,2200,0.0,0.0
76,lot6,-1,-1,-1.0,-1.0
77,lot2_general,1219,1023,196.0,0.16078753076292043
77,lot2_premium,324,297,27.0,0.08333333333333333
77,lot3,1192,929,263.0,0.22063758389261745
77,lot4_general,1430,937,493.0,0.34475524475524477
77,lot4_premium,352,226,126.0,0.35795454545454547
77,lot5,2200,2200,0.0,0.0
77,lot6,-1,-1,-1.0,-1.0
78,lot2_general,1219,1028,191.0,0.15668580803937654
78,lot2_premium,324,296,28.0,0.08641975308641975
78,lot3,1192,1013,179.0,0.15016778523489932
78,lot4_general,1430,929,501.0,0.3503496503496504
78,lot4_premium,352,197,155.0,0.4403409090909091
78,lot5,2200,2200,0.0,0.0
78,lot6,-1,-1,-1.0,-1.0
79,lot2_general,1219,1080,139.0,0.1140278917145201
79,lot2_premium,324,285,39.0,0.12037037037037036
79,lot3,1192,971,221.0,0.18540268456375839
79,lot4_general,1430,902,528.0,0.36923076923076925
79,lot4_premium,352,205,147.0,0.41761363636363635
79,lot5,2200,2200,0.0,0.0
79,lot6,-1,-1,-1.0,-1.0
80,lot2_general,1219,1022,197.0,0.1616078753076292
80,lot2_premium,324,290,34.0,0.10493827160493827
80,lot3,1192,959,233.0,0.19546979865771813
80,lot4_general,1430,894,536.0,0.3748251748251748
80,lot4_premium,352,208,144.0,0.4090909090909091
80,lot5,2200,2200,0.0,0.0
80,lot6,-1,-1,-1.0,-1.0
81,lot2_general,1219,985,234.0,0.19196062346185397
81,lot2_premium,324,292,32.0,0.09876543209876543
81,lot3,1192,884,308.0,0.25838926174496646
81,lot4_general,1430,846,584.0,0.4083916083916084
81,lot4_premium,352,199,153.0,0.4346590909090909
81,lot5,2200,2200,0.0,0.0
