Date,Day,Lot,% Capacity,Occupied,Spaces
2021-06-30,Wednesday,LOT 5,37.636363636363626,828.0,2200
2021-06-30,Wednesday,LOT 5 Value,0.0,0.0,0
2021-06-30,Wednesday,LOT 6,-100.0,-1.0,-1
2021-07-01,Thursday,LOT 2 General,28.71205906480722,350.0,1219
2021-07-01,Thursday,LOT 2 Premium,16.66666666666666,54.0,324
2021-07-01,Thursday,LOT 2 Value,0.0,0.0,0
2021-07-01,Thursday,LOT 3,77.43288590604027,923.0,1192
2021-07-01,Thursday,LOT 4 General,75.94405594405595,1086.0,1430
2021-07-01,Thursday,LOT 4 Premium,16.19318181818181,57.0,352
2021-07-01,Thursday,LOT 5,36.72727272727272,808.0,2200
2021-07-01,Thursday,LOT 5 Value,0.0,0.0,0
2021-07-01,Thursday,LOT 6,-100.0,-1.0,-1
2021-07-02,Friday,LOT 2 General,35.11074651353568,428.0,1219
2021-07-02,Friday,LOT 2 Premium,19.135802469135797,62.0,324
2021-07-02,Friday,LOT 2 Value,0.0,0.0,0
2021-07-02,Friday,LOT 3,67.78523489932886,808.0,1192
2021-07-02,Friday,LOT 4 General,66.5034965034965,951.0,1430
2021-07-02,Friday,LOT 4 Premium,39.77272727272727,140.0,352
2021-07-02,Friday,LOT 5,42.22727272727273,929.0,2200
2021-07-02,Friday,LOT 5 Value,0.0,0.0,0
2021-07-02,Friday,LOT 6,-100.0,-1.0,-1
2021-07-03,Saturday,LOT 2 General,47.74405250205086,582.0,1219
2021-07-03,Saturday,LOT 2 Premium,26.543209876543212,86.0,324
2021-07-03,Saturday,LOT 2 Value,0.0,0.0,0
2021-07-03,Saturday,LOT 3,68.95973154362416,822.0,1192
2021-07-03,Saturday,LOT 4 General,67.62237762237763,967.0,1430
2021-07-03,Saturday,LOT 4 Premium,59.94318181818182,211.0,352
2021-07-03,Saturday,LOT 5,49.59090909090909,1091.0,2200
2021-07-03,Saturday,LOT 5 Value,0.0,0.0,0
2021-07-03,Saturday,LOT 6,-100.0,-1.0,-1
2021-07-04,Sunday,LOT 2 General,49.54881050041017,604.0,1219
2021-07-04,Sunday,LOT 2 Premium,23.76543209876543,77.0,324
2021-07-04,Sunday,LOT 2 Value,0.0,0.0,0
2021-07-04,Sunday,LOT 3,57.130872483221474,681.0,1192
2021-07-04,Sunday,LOT 4 General,56.01398601398601,801.0,1430
2021-07-04,Sunday,LOT 4 Premium,87.2159090909091,307.0,352
2021-07-04,Sunday,LOT 5,61.227272727272734,1347.0,2200
2021-07-04,Sunday,LOT 5 Value,0.0,0.0,0
2021-07-04,Sunday,LOT 6,-100.0,-1.0,-1
2021-07-05,Monday,LOT 2 General,35.27481542247744,430.0,1219
2021-07-05,Monday,LOT 2 Premium,91.97530864197532,298.0,324
2021-07-05,Monday,LOT 2 Value,0.0,0.0,0
2021-07-05,Monday,LOT 3,64.09395973154362,764.0,1192
2021-07-05,Monday,LOT 4 General,62.86713286713287,899.0,1430
2021-07-05,Monday,LOT 4 Premium,84.6590909090909,298.0,352
2021-07-05,Monday,LOT 5,45.68181818181818,1005.0,2200
2021-07-05,Monday,LOT 5 Value,0.0,0.0,0
2021-07-05,Monday,LOT 6,-100.0,-1.0,-1
2021-07-06,Tuesday,LOT 2 General,32.56767842493847,397.0,1219
2021-07-06,Tuesday,LOT 2 Premium,17.28395061728395,56.0,324
2021-07-06,Tuesday,LOT 2 Value,0.0,0.0,0
2021-07-06,Tuesday,LOT 3,58.22147651006711,694.0,1192
2021-07-06,Tuesday,LOT 4 General,49.65034965034965,710.0,1430
2021-07-06,Tuesday,LOT 4 Premium,41.76136363636363,147.0,352
2021-07-06,Tuesday,LOT 5,41.27272727272727,908.0,2200
2021-07-06,Tuesday,LOT 5 Value,0.0,0.0,0
2021-07-06,Tuesday,LOT 6,-100.0,-1.0,-1
2021-07-07,Wednesday,LOT 2 General,30.84495488105004,376.0,1219
2021-07-07,Wednesday,LOT 2 Premium,19.44444444444444,63.0,324
2021-07-07,Wednesday,LOT 2 Value,0.0,0.0,0
2021-07-07,Wednesday,LOT 3,56.711409395973156,676.0,1192
2021-07-07,Wednesday,LOT 4 General,55.59440559440559,795.0,1430
2021-07-07,Wednesday,LOT 4 Premium,59.09090909090909,208.0,352
2021-07-07,Wednesday,LOT 5,41.54545454545454,914.0,2200
2021-07-07,Wednesday,LOT 5 Value,0.0,0.0,0
2021-07-07,Wednesday,LOT 6,-100.0,-1.0,-1
2021-07-08,Thursday,LOT 2 General,42.90401968826907,523.0,1219
