Year,Month,Airline,Passengers
2024,January,Frontier Airlines,41583
2024,January,Hawaiian Airlines,10572
2024,January,JetBlue,7614
2024,January,New Pacific Airlines,1706
2024,January,Southwest Airlines,180066
2024,January,United Airlines,27807
2024,January,Volaris,18211
2024,January,Volaris El Salvador,2087
2024,January,All Others,1057
2024,February,Alaska Airlines,32461
2024,February,American Airlines,77189
2024,February,Avianca,4525
2024,February,China Airlines,16498
2024,February,Delta Air Lines,45714
2024,February,Frontier Airlines,37986
2024,February,Hawaiian Airlines,9521
2024,February,JetBlue,5866
2024,February,New Pacific Airlines,2922
2024,February,Southwest Airlines,175896
2024,February,United Airlines,25856
2024,February,Volaris,15457
2024,February,Volaris El Salvador,0
2024,February,All Others,2
2024,March,Alaska Airlines,40523
2024,March,American Airlines,90653
2024,March,Avianca,5985
2024,March,China Airlines,18815
2024,March,Delta Air Lines,54022
2024,March,Frontier Airlines,67436
2024,March,Hawaiian Airlines,10984
2024,March,JetBlue,7878
2024,March,New Pacific Airlines,2790
2024,March,Southwest Airlines,210073
2024,March,United Airlines,31581
2024,March,Volaris,16236
2024,March,Volaris El Salvador,24
2024,March,All Others,0
2024,April,Alaska Airlines,40669
2024,April,American Airlines,92386
2024,April,Avianca,6096
2024,April,China Airlines,17822
2024,April,Delta Air Lines,61092
2024,April,Frontier Airlines,84074
2024,April,Hawaiian Airlines,10615
2024,April,JetBlue,7694
2024,April,New Pacific Airlines,0
2024,April,Southwest Airlines,212245
2024,April,United Airlines,28366
2024,April,Volaris,12408
2024,April,Volaris El Salvador,0
2024,April,All Others,0
2024,May,Alaska Airlines,43370
2024,May,American Airlines,97535
2024,May,Avianca,5381
2024,May,China Airlines,17769
2024,May,Delta Air Lines,66759
2024,May,Frontier Airlines,98829
2024,May,Hawaiian Airlines,10851
2024,May,JetBlue,10246
2024,May,New Pacific Airlines,0
2024,May,Southwest Airlines,221080
2024,May,United Airlines,33241
2024,May,Volaris,13535
2024,May,Volaris El Salvador,0
2024,May,All Others,65
2024,June,Alaska Airlines,46484
2024,June,American Airlines,97224
2024,June,Avianca,6147
2024,June,China Airlines,18666
2024,June,Delta Air Lines,70948
2024,June,Frontier Airlines,106438
2024,June,Hawaiian Airlines,10898
2024,June,JetBlue,10380
2024,June,New Pacific Airlines,0
2024,June,Southwest Airlines,229730
2024,June,United Airlines,42948
2024,June,Volaris,12561
2024,June,Volaris El Salvador,0
2024,June,All Others,305
2024,July,Alaska Airlines,49761
2024,July,American Airlines,98355
2024,July,Avianca,6446
2024,July,China Airlines,17260
2024,July,Delta Air Lines,64131
2024,July,Frontier Airlines,117640
2024,July,Hawaiian Airlines,11479
2024,July,JetBlue,11059
2024,July,New Pacific Airlines,0
2024,July,Southwest Airlines,224680
2024,July,United Airlines,51591
2024,July,Volaris,13512
2024,July,Volaris El Salvador,0
2024,July,All Others,408
2024,August,Alaska Airlines,48430
2024,August,American Airlines,98117
2024,August,Avianca,5622
2024,August,China Airlines,16520
2024,August,Delta Air Lines,66888
2024,August,Frontier Airlines,106886
2024,August,Hawaiian Airlines,11198
2024,August,JetBlue,9900
2024,August,New Pacific Airlines,0
2024,August,Southwest Airlines,218390
2024,August,United Airlines,48551
2024,August,Volaris,12970
